url,temp_downloaded,user_decision,temp_path,final_path
https://images.unsplash.com/photo-1567255097545-018d2b9c414c?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NDI4fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_50.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_51.jpg
https://images.unsplash.com/photo-1700847365077-e398dadac872?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NDc1fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_51.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_52.jpg
https://images.unsplash.com/photo-1581836850314-3b668c2aa540?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTA2fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_52.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_53.jpg
https://images.unsplash.com/photo-1747577629840-fb33090c7dd0?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NTI2fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_53.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_54.jpg
https://images.unsplash.com/photo-1517427677506-ade074eb1432?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NTB8fGluZGlhfGVufDB8fDB8fHww,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_54.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_55.jpg
https://images.unsplash.com/photo-1535280783-cd33989a9522?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU2fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_55.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_56.jpg
https://images.unsplash.com/profile-1620562860790-640812b3cd87image?w=32&dpr=2&crop=faces&bg=%23fff&h=32&auto=format&fit=crop&q=60&ixlib=rb-4.1.0,discarded,auto_skipped,,
https://images.unsplash.com/photo-1555057918-78809fd6a368?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NDQ2fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_57.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_58.jpg
https://images.unsplash.com/photo-1622279488670-123d0fd161cb?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjY0fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_58.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_59.jpg
https://images.unsplash.com/profile-1599375369515-bb44ecdd0d58image?w=32&dpr=2&crop=faces&bg=%23fff&h=32&auto=format&fit=crop&q=60&ixlib=rb-4.1.0,discarded,auto_skipped,,
